Designator,Mid X,Mid Y,Rotation,Layer
J1,101.5,-66.0,0.0,top
J2,140.0,-47.55,90.0,top
J3,178.45,-66.0,0.0,top
J4,140.0,-84.45,90.0,top
SW1,115.0,-66.0,90.0,top
SW2,164.0,-66.0,90.0,top
U1,140.0,-66.0,0.0,top
